Gini Coefficient,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,0.47,0.47,0.47,0.48,0.48,0.4817,0.4824,0.4768,0.4859,0.4741
Alaska,0.42,0.41,0.42,0.41,0.42,0.4811,0.4847,0.4241,0.4322,0.4376
Arizona,0.46,0.46,0.46,0.47,0.47,0.4322,0.4081,0.4668,0.4613,0.4591
Arkansas,0.46,0.47,0.46,0.47,0.47,0.4702,0.4713,0.4725,0.4845,0.475
California,0.47,0.48,0.48,0.49,0.49,0.4773,0.4719,0.4866,0.4912,0.4866
Colorado,0.46,0.46,0.46,0.46,0.46,0.4876,0.4899,0.4553,0.4561,0.4548
Connecticut,0.49,0.49,0.49,0.5,0.5,0.458,0.4586,0.4943,0.5014,0.5024
Delaware,0.44,0.44,0.44,0.45,0.45,0.4916,0.4945,0.4811,0.4587,0.4509
Dist. of Columbia,0.53,0.53,0.53,0.53,0.52,0.4523,0.4522,0.5281,0.5243,0.5115
Florida,0.47,0.48,0.48,0.48,0.48,0.5354,0.542,0.4859,0.4887,0.4808
Georgia,0.47,0.48,0.48,0.48,0.48,0.4872,0.4852,0.483,0.4822,0.4795
Hawaii,0.43,0.43,0.43,0.44,0.43,0.4801,0.4813,0.4455,0.445,0.4397
Idaho,0.43,0.43,0.43,0.44,0.45,0.4346,0.442,0.4478,0.4454,0.4337
Illinois,0.47,0.47,0.47,0.48,0.48,0.4525,0.4503,0.4818,0.4852,0.48
Indiana,0.44,0.45,0.44,0.46,0.45,0.4817,0.481,0.4497,0.4511,0.4584
Iowa,0.43,0.43,0.43,0.44,0.44,0.4519,0.4527,0.4381,0.4413,0.4422
Kansas,0.45,0.44,0.45,0.46,0.46,0.4393,0.4451,0.4539,0.4633,0.45
Kentucky,0.47,0.47,0.47,0.47,0.47,0.4596,0.455,0.4784,0.4787,0.4764
Louisiana,0.48,0.48,0.49,0.49,0.49,0.4781,0.4813,0.4935,0.4936,0.4978
Maine,0.44,0.45,0.45,0.45,0.46,0.4909,0.499,0.4526,0.4516,0.449
Maryland,0.44,0.45,0.45,0.46,0.45,0.4523,0.4519,0.453,0.4543,0.4558
Massachusetts,0.48,0.48,0.48,0.48,0.49,0.4524,0.4499,0.4851,0.4875,0.4803
Michigan,0.45,0.46,0.46,0.46,0.46,0.4848,0.4786,0.4671,0.4679,0.4634
Minnesota,0.44,0.44,0.44,0.45,0.45,0.4667,0.4695,0.4516,0.4536,0.4434
Mississippi,0.47,0.47,0.49,0.48,0.48,0.4492,0.4496,0.479,0.4828,0.4896
Missouri,0.46,0.46,0.46,0.46,0.46,0.4759,0.4828,0.4618,0.4657,0.4633
Montana,0.44,0.44,0.45,0.46,0.45,0.4634,0.4646,0.4539,0.4535,0.4597
Nebraska,0.43,0.45,0.43,0.44,0.44,0.4623,0.4667,0.4391,0.4488,0.44
Nevada,0.45,0.45,0.45,0.45,0.44,0.4473,0.4477,0.4606,0.469,0.471
New Hampshire,0.43,0.43,0.43,0.44,0.44,0.4548,0.4577,0.4386,0.453,0.4406
New Jersey,0.46,0.47,0.47,0.48,0.48,0.4347,0.4304,0.4794,0.4836,0.4782
New Mexico,0.46,0.48,0.47,0.48,0.48,0.4832,0.4813,0.4776,0.4891,0.4768
New York,0.5,0.5,0.5,0.51,0.51,0.4795,0.4769,0.5157,0.513,0.5149
North Carolina,0.46,0.47,0.47,0.48,0.47,0.5138,0.5129,0.4763,0.4782,0.4743
North Dakota,0.43,0.44,0.46,0.46,0.47,0.4776,0.478,0.4546,0.4427,0.4558
Ohio,0.45,0.46,0.46,0.47,0.46,0.4664,0.4533,0.4642,0.4667,0.4651
Oklahoma,0.45,0.46,0.46,0.46,0.47,0.4637,0.468,0.4658,0.4687,0.4739
Oregon,0.45,0.46,0.46,0.46,0.46,0.4702,0.4645,0.4593,0.4582,0.45
Pennsylvania,0.46,0.46,0.46,0.47,0.47,0.4622,0.4583,0.4777,0.4747,0.4745
Rhode Island,0.47,0.47,0.46,0.48,0.48,0.4685,0.4689,0.4722,0.47,0.4628
South Carolina,0.46,0.46,0.47,0.47,0.47,0.4732,0.4781,0.4795,0.4762,0.4747
South Dakota,0.44,0.43,0.43,0.44,0.45,0.4698,0.4735,0.4488,0.4445,0.436
Tennessee,0.47,0.48,0.47,0.48,0.48,0.4436,0.4495,0.4822,0.4778,0.4749
Texas,0.47,0.48,0.48,0.48,0.48,0.4789,0.479,0.4781,0.4822,0.4753
Utah,0.42,0.42,0.42,0.43,0.43,0.4823,0.48,0.4225,0.4845,0.4268
Vermont,0.44,0.43,0.44,0.45,0.44,0.4252,0.4263,0.4525,0.4269,0.4471
Virginia,0.46,0.46,0.47,0.47,0.47,0.4452,0.4539,0.4674,0.4473,0.469
Washington,0.44,0.44,0.45,0.46,0.45,0.4681,0.4705,0.4561,0.4754,0.4577
West Virginia,0.45,0.47,0.46,0.46,0.45,0.4561,0.4591,0.4686,0.4574,0.4644
Wisconsin,0.43,0.44,0.44,0.44,0.44,0.4581,0.4711,0.4467,0.4742,0.4391
Wyoming,0.42,0.41,0.42,0.42,0.43,0.441,0.4498,0.4326,0.4483,0.4345
United States,0.47,0.48,0.48,0.48,0.49,0.4374,0.436,0.4822,0.4555,0.4811
